"Rec No","Orderid","Ordervgepointer","Orderbol","Createdby","Locked","Orderprinted","Ordercancelled","Orderdate","Cancelledby","Cancelleddate"
       24407,        19662,         1344,        83115,"Chevelle",  0,  1,  0,20170830,,
       24408,        19663,         1344,        83145,"Chevelle",  0,  1,  0,20170830,,
       24409,        19664,         1344,        83118,"Chevelle",  0,  1,  0,20170830,,
       24410,        19665,         1344,        83125,"Chevelle",  0,  1,  0,20170830,,
       24411,        19666,         1344,        83098,"Chevelle",  0,  1,  0,20170830,,
       24412,        19667,         1344,        83103,"Chevelle",  0,  1,  0,20170830,,
       24413,        19668,         1344,        83093,"Chevelle",  0,  1,  0,20170830,,
       24414,        19669,         1344,        83091,"Chevelle",  0,  1,  0,20170830,,
       24415,        19670,         1344,        83097,"Chevelle",  0,  1,  0,20170830,,
       24416,        19671,         1344,        83122,"Chevelle",  0,  1,  0,20170830,,
       24417,        19672,         1344,        83114,"Chevelle",  0,  1,  0,20170830,,
       24418,        19673,         1344,        83143,"Chevelle",  0,  1,  0,20170830,,
       24419,        19674,         1344,        83147,"Chevelle",  0,  1,  0,20170830,,
       24420,        19675,         1344,        83119,"Chevelle",  0,  1,  0,20170830,,
       24421,        19676,         1344,        83144,"Chevelle",  0,  1,  0,20170830,,
       24422,        19677,         1344,        83132,"Chevelle",  0,  1,  0,20170830,,
       24423,        19678,         1344,        83087,"Chevelle",  0,  1,  0,20170830,,
       24424,        19679,         1344,        83141,"Chevelle",  0,  1,  0,20170830,,
       24425,        19680,         1344,        83100,"Chevelle",  0,  1,  0,20170830,,
       24426,        19681,         1345,        83166,"christina",  0,  1,  0,20170901,,
       24427,        19682,         1345,        83178,"myriam",  0,  1,  0,20170901,,
       24428,        19683,         1345,        83201,"myriam",  0,  1,  0,20170901,,
       24429,        19684,         1345,        83170,"myriam",  0,  1,  0,20170901,,
       24430,        19685,         1345,        83155,"christina",  0,  1,  0,20170901,,
       24431,        19686,         1345,        83156,"christina",  0,  1,  0,20170901,,
       24432,        19687,         1345,        83210,"christina",  0,  1,  0,20170901,,
       24433,        19688,         1345,        83220,"christina",  0,  1,  0,20170901,,
       24434,        19689,         1345,        83221,"myriam",  0,  1,  0,20170901,,
       24435,        19690,         1345,        83198,"christina",  0,  1,  0,20170901,,
       24436,        19691,         1345,        83197,"christina",  0,  1,  0,20170901,,
       24437,        19692,         1345,        83216,"christina",  0,  1,  0,20170901,,
       24438,        19693,         1345,        83176,"christina",  0,  1,  0,20170901,,
       24439,        19694,         1345,        83213,"christina",  0,  1,  0,20170901,,
       24440,        19695,         1345,        83179,"christina",  0,  1,  0,20170901,,
       24441,        19696,         1345,        83177,"christina",  0,  1,  0,20170901,,
       24442,        19697,         1345,        83214,"christina",  0,  1,  0,20170901,,
       24443,        19698,         1345,        83215,"christina",  0,  1,  0,20170901,,
       24444,        19699,         1345,        83158,"christina",  0,  1,  0,20170901,,
       24445,        19700,         1345,        83209,"christina",  0,  1,  0,20170901,,
       24446,        19701,         1345,        83180,"christina",  0,  1,  0,20170901,,
       24447,        19702,         1345,        83159,"christina",  0,  1,  0,20170901,,
       24448,        19703,         1345,        83172,"christina",  0,  1,  0,20170901,,
       24449,        19704,         1345,        83168,"christina",  0,  1,  0,20170901,,
       24450,        19705,         1345,        83202,"christina",  0,  1,  0,20170901,,
       24451,        19706,         1345,        83195,"christina",  0,  1,  0,20170901,,
       24452,        19707,         1345,        83161,"christina",  0,  1,  0,20170901,,
       24453,        19708,         1345,        83212,"christina",  0,  1,  0,20170901,,
       24454,        19709,         1345,        83199,"christina",  0,  1,  0,20170901,,
       24455,        19710,         1345,        83182,"christina",  0,  1,  0,20170901,,
       24456,        19711,         1345,        83206,"christina",  0,  1,  0,20170901,,
       24457,        19712,         1345,        83165,"christina",  0,  1,  0,20170901,,
       24458,        19713,         1345,        83186,"christina",  0,  1,  0,20170901,,
       24459,        19714,         1345,        83200,"christina",  0,  1,  0,20170901,,
       24460,        19715,         1345,        83157,"christina",  0,  1,  0,20170901,,
       24461,        19716,         1345,        83191,"christina",  0,  1,  0,20170901,,
       24462,        19717,         1345,        83175,"christina",  0,  1,  0,20170901,,
       24463,        19718,         1345,        83173,"christina",  0,  1,  0,20170901,,
       24464,        19719,         1345,        83196,"christina",  0,  1,  0,20170901,,
       24465,        19720,         1345,        83167,"christina",  0,  1,  0,20170901,,
       24466,        19721,         1345,        83219,"christina",  0,  1,  0,20170901,,
       24467,        19722,         1345,        83218,"christina",  0,  1,  0,20170901,,
       24468,        19723,         1345,        83184,"christina",  0,  1,  0,20170901,,
       24469,        19724,         1345,        83174,"christina",  0,  1,  0,20170901,,
       24470,        19725,         1345,        83208,"christina",  0,  1,  0,20170901,,
       24471,        19726,         1345,        83171,"christina",  0,  1,  0,20170901,,
       24472,        19727,         1345,        83190,"christina",  0,  1,  0,20170901,,
       24473,        19728,         1345,        83164,"christina",  0,  1,  0,20170901,,
       24474,        19729,         1345,        83187,"christina",  0,  1,  0,20170901,,
       24475,        19730,         1345,        83154,"christina",  0,  1,  0,20170901,,
       24476,        19731,         1345,        83203,"christina",  0,  1,  0,20170901,,
       24477,        19732,         1345,        83169,"christina",  0,  1,  0,20170901,,
       24478,        19733,         1345,        83163,"christina",  0,  1,  0,20170901,,
       24479,        19734,         1345,        83185,"christina",  0,  1,  0,20170901,,
       24480,        19735,         1345,        83217,"christina",  0,  1,  0,20170901,,
       24481,        19736,         1345,        83160,"christina",  0,  1,  0,20170901,,
       24482,        19737,         1345,        83207,"christina",  0,  1,  0,20170901,,
       24483,        19738,         1345,        83205,"christina",  0,  1,  0,20170901,,
       24484,        19739,         1345,        83183,"christina",  0,  1,  0,20170901,,
       24485,        19740,         1345,        83188,"christina",  0,  1,  0,20170901,,
       24486,        19741,         1345,        83193,"christina",  0,  1,  0,20170901,,
       24487,        19742,         1345,        83192,"christina",  0,  1,  0,20170901,,
       24488,        19743,         1345,        83204,"christina",  0,  1,  0,20170901,,
       24489,        19744,         1345,        83162,"christina",  0,  1,  0,20170901,,
       24490,        19745,         1345,        83181,"christina",  0,  1,  0,20170901,,
       24491,        19746,         1345,        83189,"christina",  0,  1,  0,20170901,,
       24492,        19747,         1345,        83211,"christina",  0,  1,  0,20170901,,
       24493,        19748,         1345,        83194,"christina",  0,  1,  0,20170901,,
       24494,        19749,         1351,        83756,"Chevelle",  0,  1,  0,20170905,,
       24495,        19750,         1351,        83733,"Chevelle",  0,  1,  0,20170905,,
       24496,        19751,         1351,        83706,"Chevelle",  0,  1,  0,20170905,,
       24497,        19752,         1351,        83745,"Chevelle",  0,  1,  0,20170905,,
       24498,        19753,         1351,        83696,"Chevelle",  0,  1,  0,20170905,,
       24499,        19754,         1351,        83698,"Chevelle",  0,  1,  0,20170905,,
       24500,        19755,         1351,        83731,"Chevelle",  0,  1,  0,20170905,,
       24501,        19756,         1351,        83746,"Chevelle",  0,  1,  0,20170905,,
       24502,        19757,         1351,        83755,"Chevelle",  0,  1,  0,20170905,,
       24503,        19758,         1351,        83759,"Chevelle",  0,  1,  0,20170905,,
       24504,        19759,         1351,        83729,"Chevelle",  0,  1,  0,20170905,,
       24505,        19760,         1351,        83728,"Chevelle",  0,  1,  0,20170905,,
       24506,        19761,         1351,        83735,"Chevelle",  0,  1,  0,20170905,,
       24507,        19762,         1351,        83743,"Chevelle",  0,  1,  0,20170905,,
       24508,        19763,         1351,        83737,"Chevelle",  0,  1,  0,20170905,,
       24509,        19764,         1351,        83747,"Chevelle",  0,  1,  0,20170905,,
       24510,        19765,         1351,        83730,"Chevelle",  0,  1,  0,20170905,,
       24511,        19766,         1351,        83707,"Chevelle",  0,  1,  0,20170905,,
       24512,        19767,         1351,        83712,"Chevelle",  0,  1,  0,20170905,,
       24513,        19768,         1351,        83751,"Chevelle",  0,  1,  0,20170905,,
       24514,        19769,         1351,        83753,"Chevelle",  0,  1,  0,20170905,,
       24515,        19770,         1351,        83749,"Chevelle",  0,  1,  0,20170905,,
       24516,        19771,         1351,        83704,"Chevelle",  0,  1,  0,20170905,,
       24517,        19772,         1351,        83761,"Chevelle",  0,  1,  0,20170905,,
       24518,        19773,         1351,        83703,"Chevelle",  0,  1,  0,20170905,,
       24519,        19774,         1351,        83758,"Chevelle",  0,  1,  0,20170905,,
       24520,        19775,         1351,        83711,"Chevelle",  0,  1,  0,20170905,,
       24521,        19776,         1351,        83742,"Chevelle",  0,  1,  0,20170905,,
       24522,        19777,         1351,        83721,"Chevelle",  0,  1,  0,20170905,,
       24523,        19778,         1351,        83741,"Chevelle",  0,  1,  0,20170905,,
       24524,        19779,         1351,        83719,"Chevelle",  0,  1,  0,20170905,,
       24525,        19780,         1351,        83754,"Chevelle",  0,  1,  0,20170905,,
       24526,        19781,         1351,        83718,"Chevelle",  0,  1,  0,20170905,,
       24527,        19782,         1351,        83705,"Chevelle",  0,  1,  0,20170905,,
       24528,        19783,         1351,        83760,"Chevelle",  0,  1,  0,20170905,,
       24529,        19784,         1351,        83720,"Chevelle",  0,  1,  0,20170905,,
       24530,        19785,         1351,        83708,"Chevelle",  0,  1,  0,20170905,,
       24531,        19786,         1351,        83752,"Chevelle",  0,  1,  0,20170905,,
       24532,        19787,         1351,        83726,"Chevelle",  0,  1,  0,20170905,,
       24533,        19788,         1351,        83697,"Chevelle",  0,  1,  0,20170905,,
       24534,        19789,         1351,        83750,"Chevelle",  0,  1,  0,20170905,,
       24535,        19790,         1351,        83738,"Chevelle",  0,  1,  0,20170905,,
       24536,        19791,         1351,        83727,"Chevelle",  0,  1,  0,20170905,,
       24537,        19792,         1351,        83725,"Chevelle",  0,  1,  0,20170905,,
       24538,        19793,         1351,        83723,"Chevelle",  0,  1,  0,20170905,,
       24539,        19794,         1351,        83714,"Chevelle",  0,  1,  0,20170905,,
       24540,        19795,         1351,        83715,"Chevelle",  0,  1,  0,20170905,,
       24541,        19796,         1351,        83700,"Chevelle",  0,  1,  0,20170905,,
       24542,        19797,         1351,        83757,"Chevelle",  0,  1,  0,20170905,,
       24543,        19798,         1351,        83699,"Chevelle",  0,  1,  0,20170905,,
       24544,        19799,         1351,        83716,"Chevelle",  0,  1,  0,20170905,,
       24545,        19800,         1351,        83701,"Chevelle",  0,  1,  0,20170905,,
       24546,        19801,         1351,        83762,"Chevelle",  0,  1,  0,20170905,,
       24547,        19802,         1351,        83736,"Chevelle",  0,  1,  0,20170905,,
       24548,        19803,         1351,        83732,"Chevelle",  0,  1,  0,20170905,,
       24549,        19804,         1351,        83695,"Chevelle",  0,  1,  0,20170905,,
       24550,        19805,         1351,        83717,"Chevelle",  0,  1,  0,20170905,,
       24551,        19806,         1351,        83724,"Chevelle",  0,  1,  0,20170905,,
       24552,        19807,         1351,        83722,"Chevelle",  0,  1,  0,20170905,,
       24553,        19808,         1351,        83748,"Chevelle",  0,  1,  0,20170905,,
       24554,        19809,         1351,        83744,"Chevelle",  0,  1,  0,20170905,,
       24555,        19810,         1351,        83734,"Chevelle",  0,  1,  0,20170905,,
       24556,        19811,         1351,        83709,"Chevelle",  0,  1,  0,20170905,,
       24557,        19812,         1351,        83713,"Chevelle",  0,  1,  0,20170905,,
       24558,        19813,         1351,        83740,"Chevelle",  0,  1,  0,20170905,,
       24559,        19814,         1351,        83710,"Chevelle",  0,  1,  0,20170905,,
       24560,        19815,         1351,        83702,"Chevelle",  0,  1,  0,20170905,,
       24561,        19816,         1351,        83739,"Chevelle",  0,  1,  0,20170905,,
       24562,        19817,         1347,        83286,"chevaughn",  0,  1,  0,20170906,,
       24563,        19818,         1347,        83316,"chevaughn",  0,  1,  0,20170906,,
       24564,        19819,         1347,        83336,"chevaughn",  0,  1,  0,20170906,,
       24565,        19820,         1347,        83301,"chevaughn",  0,  1,  0,20170906,,
       24566,        19821,         1347,        83334,"chevaughn",  0,  1,  0,20170906,,
       24567,        19822,         1347,        83328,"chevaughn",  0,  1,  0,20170906,,
       24568,        19823,         1347,        83302,"chevaughn",  0,  1,  0,20170906,,
       24569,        19824,         1347,        83314,"chevaughn",  0,  1,  0,20170906,,
       24570,        19825,         1347,        83291,"chevaughn",  0,  1,  0,20170906,,
       24571,        19826,         1347,        83331,"chevaughn",  0,  1,  0,20170906,,
       24572,        19827,         1347,        83329,"chevaughn",  0,  1,  0,20170906,,
       24573,        19828,         1347,        83322,"chevaughn",  0,  1,  0,20170906,,
       24574,        19829,         1347,        83321,"chevaughn",  0,  1,  0,20170906,,
       24575,        19830,         1347,        83275,"chevaughn",  0,  1,  0,20170906,,
       24576,        19831,         1347,        83294,"chevaughn",  0,  1,  0,20170906,,
       24577,        19832,         1347,        83319,"chevaughn",  0,  1,  0,20170906,,
       24578,        19833,         1347,        83325,"chevaughn",  0,  1,  0,20170906,,
       24579,        19834,         1348,        83396,"Chevelle",  0,  1,  0,20170906,,
       24580,        19835,         1347,        83327,"chevaughn",  0,  1,  0,20170906,,
       24581,        19836,         1347,        83276,"chevaughn",  0,  1,  0,20170906,,
       24583,        19837,         1348,        83374,"Chevelle",  0,  1,  0,20170906,,
       24584,        19838,         1348,        83381,"Chevelle",  0,  1,  0,20170906,,
       24585,        19839,         1347,        83277,"chevaughn",  0,  1,  0,20170906,,
       24586,        19840,         1347,        83284,"chevaughn",  0,  1,  0,20170906,,
       24587,        19841,         1347,        83306,"chevaughn",  0,  1,  0,20170906,,
       24588,        19842,         1348,        83426,"Chevelle",  0,  1,  0,20170906,,
       24589,        19843,         1348,        83391,"Chevelle",  0,  1,  0,20170906,,
       24590,        19844,         1347,        83282,"chevaughn",  0,  1,  0,20170906,,
       24591,        19845,         1347,        83315,"chevaughn",  0,  1,  0,20170906,,
       24592,        19846,         1348,        83356,"Chevelle",  0,  1,  0,20170906,,
       24593,        19847,         1347,        83296,"chevaughn",  0,  1,  0,20170906,,
       24594,        19848,         1348,        83401,"Chevelle",  0,  1,  0,20170906,,
       24595,        19849,         1348,        83351,"Chevelle",  0,  1,  0,20170906,,
       24596,        19850,         1347,        83297,"chevaughn",  0,  1,  0,20170906,,
       24597,        19851,         1348,        83371,"Chevelle",  0,  1,  0,20170906,,
       24598,        19852,         1347,        83283,"chevaughn",  0,  1,  0,20170906,,
       24599,        19853,         1348,        83382,"Chevelle",  0,  1,  0,20170906,,
       24600,        19854,         1348,        83405,"Chevelle",  0,  1,  0,20170906,,
       24601,        19855,         1348,        83375,"Chevelle",  0,  1,  0,20170906,,
       24602,        19856,         1348,        83419,"Chevelle",  0,  1,  0,20170906,,
       24603,        19857,         1348,        83390,"Chevelle",  0,  1,  0,20170906,,
       24604,        19858,         1348,        83342,"Chevelle",  0,  1,  0,20170906,,
       24605,        19859,         1348,        83352,"Chevelle",  0,  1,  0,20170906,,
       24606,        19860,         1348,        83346,"Chevelle",  0,  1,  0,20170906,,
       24607,        19861,         1347,        83278,"chevaughn",  0,  1,  0,20170906,,
       24608,        19862,         1347,        83305,"chevaughn",  0,  1,  0,20170906,,
       24609,        19863,         1338,        83433,"chevaughn",  0,  1,  0,20170906,,
       24610,        19864,         1338,        83505,"chevaughn",  0,  1,  0,20170906,,
       24611,        19865,         1338,        83464,"chevaughn",  0,  1,  0,20170906,,
       24612,        19866,         1347,        83313,"chevaughn",  0,  1,  0,20170906,,
       24613,        19867,         1338,        83438,"chevaughn",  0,  1,  0,20170906,,
       24614,        19868,         1347,        83289,"chevaughn",  0,  1,  0,20170906,,
       24615,        19869,         1347,        83304,"chevaughn",  0,  1,  0,20170906,,
       24616,        19870,         1347,        83311,"chevaughn",  0,  1,  0,20170906,,
       24617,        19871,         1338,        83451,"chevaughn",  0,  1,  0,20170906,,
       24618,        19872,         1347,        83288,"chevaughn",  0,  1,  0,20170906,,
       24619,        19873,         1347,        83293,"chevaughn",  0,  1,  0,20170906,,
       24620,        19874,         1338,        83477,"chevaughn",  0,  1,  0,20170906,,
       24621,        19875,         1347,        83332,"chevaughn",  0,  1,  0,20170906,,
       24622,        19876,         1347,        83318,"chevaughn",  0,  1,  0,20170906,,
       24623,        19877,         1338,        83457,"chevaughn",  0,  1,  0,20170906,,
       24624,        19878,         1347,        83309,"chevaughn",  0,  1,  0,20170906,,
       24625,        19879,         1347,        83285,"chevaughn",  0,  1,  0,20170906,,
       24626,        19880,         1338,        83460,"chevaughn",  0,  1,  0,20170906,,
       24627,        19881,         1347,        83303,"chevaughn",  0,  1,  0,20170906,,
       24628,        19882,         1347,        83312,"chevaughn",  0,  1,  0,20170906,,
       24629,        19883,         1347,        83326,"chevaughn",  0,  1,  0,20170906,,
       24630,        19884,         1348,        83398,"Chevelle",  0,  1,  0,20170906,,
       24631,        19885,         1348,        83350,"Chevelle",  0,  1,  0,20170906,,
       24632,        19886,         1347,        83330,"chevaughn",  0,  1,  0,20170906,,
       24633,        19887,         1348,        83364,"Chevelle",  0,  1,  0,20170906,,
       24634,        19888,         1347,        83281,"chevaughn",  0,  1,  0,20170906,,
       24635,        19889,         1338,        83450,"chevaughn",  0,  1,  0,20170906,,
       24636,        19890,         1348,        83399,"Chevelle",  0,  1,  0,20170906,,
       24637,        19891,         1347,        83290,"chevaughn",  0,  1,  0,20170906,,
       24638,        19892,         1348,        83411,"Chevelle",  0,  1,  0,20170906,,
       24640,        19893,         1348,        83428,"Chevelle",  0,  1,  0,20170906,,
       24641,        19894,         1347,        83292,"chevaughn",  0,  1,  0,20170906,,
       24642,        19895,         1338,        83494,"chevaughn",  0,  1,  0,20170906,,
       24643,        19896,         1347,        83273,"chevaughn",  0,  1,  0,20170906,,
       24644,        19897,         1348,        83379,"Chevelle",  0,  1,  0,20170906,,
       24646,        19899,         1347,        83338,"chevaughn",  0,  1,  0,20170906,,
       24647,        19900,         1348,        83421,"Chevelle",  0,  1,  0,20170906,,
       24648,        19901,         1347,        83308,"chevaughn",  0,  1,  0,20170906,,
       24649,        19902,         1348,        83397,"Chevelle",  0,  1,  0,20170906,,
       24650,        19903,         1347,        83307,"chevaughn",  0,  1,  0,20170906,,
       24651,        19904,         1338,        83458,"chevaughn",  0,  1,  0,20170906,,
       24652,        19905,         1348,        83412,"Chevelle",  0,  1,  0,20170906,,
       24653,        19906,         1347,        83295,"chevaughn",  0,  1,  0,20170906,,
       24654,        19907,         1348,        83404,"Chevelle",  0,  1,  0,20170906,,
       24655,        19908,         1338,        83436,"chevaughn",  0,  1,  0,20170906,,
       24656,        19909,         1347,        83299,"chevaughn",  0,  1,  0,20170906,,
       24657,        19910,         1348,        83389,"Chevelle",  0,  1,  0,20170906,,
       24658,        19911,         1347,        83300,"chevaughn",  0,  1,  0,20170906,,
       24659,        19912,         1348,        83427,"Chevelle",  0,  1,  0,20170906,,
       24660,        19913,         1347,        83287,"chevaughn",  0,  1,  0,20170906,,
       24661,        19914,         1348,        83420,"Chevelle",  0,  1,  0,20170906,,
       24662,        19915,         1348,        83340,"Chevelle",  0,  1,  0,20170906,,
       24663,        19916,         1348,        83409,"Chevelle",  0,  1,  0,20170906,,
       24664,        19917,         1338,        83437,"chevaughn",  0,  1,  0,20170906,,
       24665,        19918,         1348,        83359,"Chevelle",  0,  1,  0,20170906,,
       24666,        19919,         1347,        83298,"chevaughn",  0,  1,  0,20170906,,
       24667,        19920,         1348,        83413,"Chevelle",  0,  1,  0,20170906,,
       24668,        19921,         1338,        83467,"chevaughn",  0,  1,  0,20170906,,
       24669,        19922,         1348,        83384,"Chevelle",  0,  1,  0,20170906,,
       24670,        19923,         1348,        83368,"Chevelle",  0,  1,  0,20170906,,
       24671,        19924,         1338,        83447,"chevaughn",  0,  1,  0,20170906,,
       24672,        19925,         1338,        83465,"chevaughn",  0,  1,  0,20170906,,
       24673,        19926,         1348,        83402,"Chevelle",  0,  1,  0,20170906,,
       24674,        19927,         1347,        83279,"chevaughn",  0,  1,  0,20170906,,
       24675,        19928,         1348,        83393,"Chevelle",  0,  1,  0,20170906,,
       24676,        19929,         1347,        83324,"chevaughn",  0,  1,  0,20170906,,
       24677,        19930,         1348,        83418,"Chevelle",  0,  1,  0,20170906,,
       24678,        19931,         1338,        83449,"chevaughn",  0,  1,  0,20170906,,
       24679,        19932,         1347,        83274,"chevaughn",  0,  1,  0,20170906,,
       24680,        19933,         1348,        83349,"Chevelle",  0,  1,  0,20170906,,
       24681,        19934,         1347,        83335,"chevaughn",  0,  1,  0,20170906,,
       24682,        19935,         1348,        83369,"Chevelle",  0,  1,  0,20170906,,
       24683,        19936,         1348,        83353,"Chevelle",  0,  1,  0,20170906,,
       24684,        19937,         1338,        83462,"chevaughn",  0,  1,  0,20170906,,
       24685,        19938,         1348,        83408,"Chevelle",  0,  1,  0,20170906,,
       24686,        19939,         1348,        83400,"Chevelle",  0,  1,  0,20170906,,
       24687,        19940,         1348,        83395,"Chevelle",  0,  1,  0,20170906,,
       24688,        19941,         1348,        83422,"Chevelle",  0,  1,  0,20170906,,
       24689,        19942,         1347,        83337,"chevaughn",  0,  1,  0,20170906,,
       24690,        19943,         1348,        83387,"Chevelle",  0,  1,  0,20170906,,
       24691,        19944,         1347,        83323,"chevaughn",  0,  1,  0,20170906,,
       24692,        19945,         1338,        83502,"chevaughn",  0,  1,  0,20170906,,
       24693,        19946,         1348,        83370,"Chevelle",  0,  1,  0,20170906,,
       24694,        19947,         1348,        83425,"Chevelle",  0,  1,  0,20170906,,
       24695,        19948,         1348,        83424,"Chevelle",  0,  1,  0,20170906,,
       24696,        19949,         1347,        83320,"chevaughn",  0,  1,  0,20170906,,
       24697,        19950,         1347,        83333,"chevaughn",  0,  1,  0,20170906,,
       24698,        19951,         1348,        83365,"Chevelle",  0,  1,  0,20170906,,
       24699,        19952,         1338,        83439,"chevaughn",  0,  1,  0,20170906,,
       24700,        19953,         1348,        83361,"Chevelle",  0,  1,  0,20170906,,
       24701,        19954,         1347,        83317,"chevaughn",  0,  1,  0,20170906,,
       24702,        19955,         1348,        83407,"Chevelle",  0,  1,  0,20170906,,
       24703,        19956,         1347,        83310,"chevaughn",  0,  1,  0,20170906,,
       24704,        19957,         1338,        83473,"chevaughn",  0,  1,  0,20170906,,
       24705,        19958,         1348,        83378,"Chevelle",  0,  1,  0,20170906,,
       24706,        19959,         1347,        83280,"chevaughn",  0,  1,  0,20170906,,
       24707,        19960,         1348,        83363,"Chevelle",  0,  1,  0,20170906,,
       24708,        19961,         1338,        83471,"chevaughn",  0,  1,  0,20170906,,
       24709,        19962,         1338,        83495,"chevaughn",  0,  1,  0,20170906,,
       24710,        19963,         1348,        83362,"Chevelle",  0,  1,  0,20170906,,
       24711,        19964,         1348,        83360,"Chevelle",  0,  1,  0,20170906,,
       24712,        19965,         1348,        83373,"Chevelle",  0,  1,  0,20170906,,
       24713,        19966,         1338,        83496,"chevaughn",  0,  1,  0,20170906,,
       24714,        19967,         1348,        83348,"Chevelle",  0,  1,  0,20170906,,
       24715,        19968,         1348,        83376,"Chevelle",  0,  1,  0,20170906,,
       24716,        19969,         1349,        83551,"chevaughn",  0,  1,  0,20170906,,
       24717,        19970,         1348,        83343,"Chevelle",  0,  1,  0,20170906,,
       24718,        19971,         1348,        83410,"Chevelle",  0,  1,  0,20170906,,
       24719,        19972,         1348,        83380,"Chevelle",  0,  1,  0,20170906,,
       24720,        19973,         1348,        83383,"Chevelle",  0,  1,  0,20170906,,
       24721,        19974,         1348,        83403,"Chevelle",  0,  1,  0,20170906,,
       24722,        19975,         1338,        83484,"chevaughn",  0,  1,  0,20170906,,
       24723,        19976,         1348,        83394,"Chevelle",  0,  1,  0,20170906,,
       24724,        19977,         1348,        83345,"Chevelle",  0,  1,  0,20170906,,
       24725,        19978,         1338,        83499,"chevaughn",  0,  1,  0,20170906,,
       24726,        19979,         1348,        83355,"Chevelle",  0,  1,  0,20170906,,
       24727,        19980,         1338,        83500,"chevaughn",  0,  1,  0,20170906,,
       24728,        19981,         1348,        83366,"Chevelle",  0,  1,  0,20170906,,
       24729,        19982,         1348,        83388,"Chevelle",  0,  1,  0,20170906,,
       24730,        19983,         1338,        83472,"chevaughn",  0,  1,  0,20170906,,
       24731,        19984,         1348,        83385,"Chevelle",  0,  1,  0,20170906,,
       24732,        19985,         1338,        83478,"chevaughn",  0,  1,  0,20170906,,
       24733,        19986,         1348,        83423,"Chevelle",  0,  1,  0,20170906,,
       24734,        19987,         1348,        83372,"Chevelle",  0,  1,  0,20170906,,
       24735,        19988,         1338,        83461,"chevaughn",  0,  1,  0,20170906,,
       24736,        19989,         1348,        83367,"Chevelle",  0,  1,  0,20170906,,
       24737,        19990,         1338,        83440,"chevaughn",  0,  1,  0,20170906,,
       24738,        19991,         1338,        83441,"chevaughn",  0,  1,  0,20170906,,
       24739,        19992,         1338,        83480,"chevaughn",  0,  1,  0,20170906,,
       24740,        19993,         1338,        83510,"chevaughn",  0,  1,  0,20170906,,
       24741,        19994,         1338,        83474,"chevaughn",  0,  1,  0,20170906,,
       24742,        19995,         1348,        83357,"Chevelle",  0,  1,  0,20170906,,
       24743,        19996,         1348,        83354,"Chevelle",  0,  1,  0,20170906,,
       24744,        19997,         1338,        83444,"chevaughn",  0,  1,  0,20170906,,
       24745,        19998,         1348,        83386,"Chevelle",  0,  1,  0,20170906,,
       24746,        19999,         1348,        83406,"Chevelle",  0,  1,  0,20170906,,
       24747,        20000,         1348,        83358,"Chevelle",  0,  1,  0,20170906,,
       24748,        20001,         1338,        83431,"chevaughn",  0,  1,  0,20170906,,
       24749,        20002,         1348,        83416,"Chevelle",  0,  1,  0,20170906,,
       24750,        20003,         1348,        83415,"Chevelle",  0,  1,  0,20170906,,
       24751,        20004,         1348,        83417,"Chevelle",  0,  1,  0,20170906,,
       24752,        20005,         1338,        83469,"chevaughn",  0,  1,  0,20170906,,
       24753,        20006,         1348,        83341,"Chevelle",  0,  1,  0,20170906,,
       24754,        20007,         1348,        83347,"Chevelle",  0,  1,  0,20170906,,
       24755,        20008,         1338,        83446,"chevaughn",  0,  1,  0,20170906,,
       24756,        20009,         1348,        83344,"Chevelle",  0,  1,  0,20170906,,
       24757,        20010,         1348,        83414,"Chevelle",  0,  1,  0,20170906,,
       24758,        20011,         1348,        83392,"Chevelle",  0,  1,  0,20170906,,
       24759,        20012,         1338,        83435,"chevaughn",  0,  1,  0,20170906,,
       24760,        20013,         1348,        83377,"Chevelle",  0,  1,  0,20170906,,
       24761,        20014,         1338,        83445,"chevaughn",  0,  1,  0,20170906,,
       24762,        20015,         1338,        83488,"chevaughn",  0,  1,  0,20170906,,
       24763,        20016,         1338,        83487,"chevaughn",  0,  1,  0,20170906,,
       24764,        20017,         1338,        83482,"chevaughn",  0,  1,  0,20170906,,
       24765,        20018,         1338,        83475,"chevaughn",  0,  1,  0,20170906,,
       24766,        20019,         1338,        83493,"chevaughn",  0,  1,  0,20170906,,
       24767,        20020,         1338,        83453,"chevaughn",  0,  1,  0,20170906,,
       24768,        20021,         1338,        83509,"chevaughn",  0,  1,  0,20170906,,
       24769,        20022,         1338,        83442,"chevaughn",  0,  1,  0,20170906,,
       24770,        20023,         1338,        83476,"chevaughn",  0,  1,  0,20170906,,
       24771,        20024,         1338,        83443,"chevaughn",  0,  1,  0,20170906,,
       24772,        20025,         1338,        83430,"chevaughn",  0,  1,  0,20170906,,
       24773,        20026,         1338,        83490,"chevaughn",  0,  1,  0,20170906,,
       24774,        20027,         1338,        83498,"chevaughn",  0,  1,  0,20170906,,
       24775,        20028,         1338,        83481,"chevaughn",  0,  1,  0,20170906,,
       24776,        20029,         1338,        83503,"chevaughn",  0,  1,  0,20170906,,
       24777,        20030,         1338,        83491,"chevaughn",  0,  1,  0,20170906,,
       24778,        20031,         1338,        83508,"chevaughn",  0,  1,  0,20170906,,
       24779,        20032,         1338,        83454,"chevaughn",  0,  1,  0,20170906,,
       24780,        20033,         1338,        83452,"chevaughn",  0,  1,  0,20170906,,
